Epoch 74/100  train=0.0174  val=0.0290
Epoch 75/100  train=0.0172  val=0.0279
Epoch 76/100  train=0.0172  val=0.0285
Epoch 77/100  train=0.0172  val=0.0280
Epoch 78/100  train=0.0172  val=0.0309
Epoch 79/100  train=0.0173  val=0.0281
Epoch 80/100  train=0.0171  val=0.0282
Epoch 81/100  train=0.0170  val=0.0280
Epoch 82/100  train=0.0170  val=0.0279
Epoch 83/100  train=0.0170  val=0.0292
Epoch 84/100  train=0.0167  val=0.0278
Epoch 85/100  train=0.0169  val=0.0281
Epoch 86/100  train=0.0169  val=0.0286
Epoch 87/100  train=0.0168  val=0.0278
Epoch 88/100  train=0.0166  val=0.0287
Epoch 89/100  train=0.0167  val=0.0284
Epoch 90/100  train=0.0166  val=0.0281
Epoch 91/100  train=0.0164  val=0.0289
Epoch 92/100  train=0.0165  val=0.0284
Epoch 93/100  train=0.0165  val=0.0288
Epoch 94/100  train=0.0166  val=0.0291
Epoch 95/100  train=0.0164  val=0.0273
Epoch 96/100  train=0.0163  val=0.0277
Epoch 97/100  train=0.0163  val=0.0271
Epoch 98/100  train=0.0164  val=0.0272
Epoch 99/100  train=0.0162  val=0.0276
Epoch 100/100  train=0.0161  val=0.0285
BYOL training complete. Best loss: 0.0254
Checkpoints saved to: /lustre/nobackup/WUR/AIN/stiva001/ssm_time_series/checkpoints/byol_temporal/ts_byol_temporal_lotsa_20260408_1223
